Divisa,Abreviatura,Símbolo
Dólar estadounidense,USD,US$
Euro,EUR,€
Yen japonés,JPY,¥
Libra esterlina,GBP,£
Dólar australiano,AUD,A$
Dólar canadiense,CAD,C$
Franco suizo,CHF,CHF
Renminbi/yuan chino,CNY,元
Dólar de Hong Kong,HKD,HK$
Dólar de Nueva Zelanda,NZD,NZ$
Corona sueca,SEK,kr
Won surcoreano,KRW,₩
Dólar de Singapur,SGD,S$
Corona noruega,NOK,kr
Peso mexicano,MXN,$
Rupia india,INR,₹
Rublo ruso,RUB,₽
Rand sudafricano,ZAR,R
Lira turca,TRY,₺
Real brasileño,BRL,R$
Nuevo dólar taiwanés,TWD,NT$
Corona danesa,DKK,kr
Złoty polaco,PLN,zł
Baht tailandés,THB,฿
Rupia indonesia,IDR,Rp
Florín húngaro,HUF,Ft
Corona checa,CZK,Kč
Nuevo shekel israelí,ILS,₪
Peso chileno,CLP,CLP$
Peso filipino,PHP,₱